#,Building,Images,Height,Floors,Building type,Year,Status
"1,251",360 Madison Avenue,3,231 ft,23,high-rise building,1917,
"1,252",344 East 28th Street,2,230 ft,26,high-rise building,1971,
"1,253",Tribeca Green,13,230 ft,24,high-rise building,2005,
"1,254",China Embassy Residence Tower,5,230 ft,22,high-rise building,2002,
"1,255",Green Central Building,4,230 ft,20,high-rise building,1927,
"1,256",5 Riverside Drive,,230 ft,20,high-rise building,1937,
"1,257",230 Riverside Drive,,230 ft,19,high-rise building,1931,
"1,258",Bank of Montreal Building,11,230 ft,19,high-rise building,1916,
"1,259",120 Riverside Boulevard at Trump Place,7,230 ft,18,high-rise building,2004,
"1,260",The Paris,,230 ft,23,high-rise building,1931,
"1,261",Fairfield Inn New York Manhattan/Financial District,1,230 ft,31,high-rise building,2015,
"1,262",Liberty Green,48,230 ft,22,high-rise building,2011,
"1,263",101 Central Park West,13,230 ft,18,high-rise building,1930,
"1,264",1 University Place,4,229 ft,21,high-rise building,1930,
"1,265",100 Church Street,2,229 ft,20,high-rise building,1958,
"1,266",20 Park Avenue,3,229 ft,19,high-rise building,1939,
"1,267",Disney Store,4,229 ft,15,high-rise building,1927,
"1,268",Executive Hotel Le Soleil New York,,229 ft,22,high-rise building,2015,
"1,269",535 Carlton Avenue,8,229 ft,19,high-rise building,2017,
"1,270",The Northwest Corner Building,,229 ft,14,high-rise building,2010,
"1,271",Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,1,228 ft,22,high-rise building,2013,
"1,272",56 Seventh Avenue,4,228 ft,21,high-rise building,1931,
"1,273",Chelsea Manor Apartments,3,228 ft,21,high-rise building,1925,
"1,274",Recording Arts Rehearsal Building,3,228 ft,20,high-rise building,1927,
"1,275",275 Central Park West,2,228 ft,19,high-rise building,1931,
"1,276",Underwood Building,16,228 ft,18,high-rise building,1912,
"1,277",Berkeley Building,3,228 ft,16,high-rise building,1917,
"1,278",Manufacturers Trust Building,4,228 ft,15,high-rise building,1931,
"1,279",Riverwalk Point,3,228 ft,22,high-rise building,2015,
"1,280",QLIC,5,228 ft,21,high-rise building,2015,
"1,281",One Ten 3rd,13,228 ft,21,high-rise building,2007,
"1,282",241 Central Park West,8,227 ft,19,high-rise building,1931,
"1,283",Joie de Vivre Hotel,1,227 ft,20,high-rise building,2016,
"1,284",One Brooklyn Bridge Park Condominiums,9,227 ft,13,high-rise building,1928,
"1,285",Co-op City Building 29A-B-C,,226 ft,26,high-rise building,1970,
"1,286",Co-op City Building 28A-B-C,,226 ft,26,high-rise building,1970,
"1,287",Co-op City Building 27A-B-C,,226 ft,26,high-rise building,1970,
"1,288",Co-op City Building 26A-B-C,,226 ft,26,high-rise building,1970,
"1,289",Co-op City Building 21A-B-C,,226 ft,26,high-rise building,1970,
"1,290",Co-op City Building 20A-B-C,,226 ft,26,high-rise building,1970,
"1,291",Co-op City Building 11A-B-C,,226 ft,26,high-rise building,1970,
"1,292",Co-op City Building 10A-B-C,,226 ft,26,high-rise building,1970,
"1,293",Co-op City Building 5A-B-C,,226 ft,26,high-rise building,1970,
"1,294",Co-op City Building 4A-B-C,,226 ft,26,high-rise building,1970,
"1,295",Taft Hotel,7,226 ft,22,high-rise building,1926,
"1,296","G. Chris & Sungeun Andersen Residence Hall, Manhattan School of Music",1,226 ft,20,high-rise building,2001,
"1,297",315 Riverside Drive,3,226 ft,20,high-rise building,1930,
"1,298",15 West 47th Street,2,226 ft,18,high-rise building,1927,
"1,299",101 Ludlow Street,6,226 ft,18,high-rise building,2008,
"1,300",545 Madison Avenue,2,226 ft,17,high-rise building,1956,
"1,301",The Ansonia,37,226 ft,17,high-rise building,1904,
"1,302",Gimbels Administration Building,2,226 ft,16,high-rise building,1912,
"1,303",New York State Pavilion Observation Tower,1,226 ft,3,observation tower,1964,
"1,304",145 East 47th Street,,226 ft,22,high-rise building,2015,
"1,305",Pierpont Apartments,4,226 ft,21,high-rise building,1984,
"1,306",Skyline Towers 6,1,225 ft,26,high-rise building,1965,
"1,307",River Point Towers,1,225 ft,25,high-rise building,1964,
"1,308",Sheraton City Squire Hotel,6,225 ft,22,high-rise building,1962,
"1,309",Four Park Avenue,9,225 ft,20,high-rise building,1913,
"1,310",555 Fifth Avenue,5,225 ft,19,high-rise building,1955,
"1,311",730 Park Avenue,4,225 ft,19,high-rise building,1929,
"1,312",Broadway Chambers Building,21,225 ft,18,high-rise building,1900,
"1,313",Murray Hill Place,1,225 ft,17,high-rise building,2001,
"1,314",Godfrey Building,2,225 ft,15,high-rise building,1916,
"1,315",Church at Mount Loretto,1,225 ft,1,church,1894,
"1,316",Two Bridges Tower,9,225 ft,21,high-rise building,1997,
"1,317",400 East 57th Street,1,224 ft,20,high-rise building,1931,
"1,318",20 Sutton Place South,2,224 ft,20,high-rise building,1954,
"1,319",3 East 54th Street,2,224 ft,19,high-rise building,1959,
"1,320",Barclay Building,4,224 ft,18,high-rise building,1905,
"1,321",Park Murray Building,6,224 ft,18,high-rise building,1927,
"1,322",9 East 40th Street,3,224 ft,18,high-rise building,1913,
"1,323",300 East 42nd Street,1,224 ft,17,high-rise building,1963,
"1,324",Atlantic Bank of New York,5,224 ft,16,high-rise building,1930,
"1,325",Aeolian Building,4,224 ft,15,high-rise building,1925,
"1,326",Verizon West 36th Street Building,1,224 ft,12,high-rise building,1924,
"1,327",270 Madison Avenue,2,223 ft,19,high-rise building,1923,
"1,328",Decoration & Design Building,1,223 ft,17,high-rise building,1966,
"1,329",Federal Reserve Bank of New York,9,223 ft,14,high-rise building,1924,
"1,330",Thompson Lower East Side,15,223 ft,18,high-rise building,2008,
"1,331",McGraw-Hill Company Building,11,222 ft,14,high-rise building,1914,
"1,332",Hampton Inn Brooklyn/Downtown Addition,3,222 ft,22,high-rise building,2017,
"1,333",Gerard Towers,,221 ft,24,high-rise building,1965,
"1,334",100 Riverside Drive,1,221 ft,20,high-rise building,1940,
"1,335",Level Club of the Masonic Order,7,221 ft,19,high-rise building,1926,
"1,336",The Carlyle,,221 ft,19,high-rise building,1931,
"1,337",Court Square Two,9,221 ft,15,high-rise building,2007,
"1,338",Fiterman Hall,21,221 ft,15,high-rise building,2012,
"1,339",88 Leonard,2,220 ft,20,high-rise building,2007,
"1,340",Solaria Riverdale,,220 ft,19,high-rise building,2008,
"1,341",40 Rector Street,7,220 ft,18,high-rise building,1920,
"1,342",550 Park Avenue,4,220 ft,17,high-rise building,1917,
"1,343",New York Life Insurance Company Annex,2,220 ft,15,high-rise building,1961,
"1,344",156 5th Avenue,2,220 ft,13,high-rise building,1895,
"1,345",32 Court Street,6,220 ft,23,high-rise building,1917,
"1,346",The Caroline,11,219 ft,19,high-rise building,2002,
"1,347",East River Tower,3,219 ft,20,high-rise building,2010,
"1,348",Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South,,219 ft,21,high-rise building,2014,
"1,349",Janel Towers,1,218 ft,24,high-rise building,1971,
"1,350",Five Manhattan West,17,218 ft,16,high-rise building,1970,
"1,351",Glenmore Plaza II,1,218 ft,24,high-rise building,1968,
"1,352",Consulate General of the People&#039;s Republic of China,8,218 ft,20,high-rise building,1962,
"1,353",201 West 16th Street,5,218 ft,20,high-rise building,1930,
"1,354",295 Central Park West,2,218 ft,19,high-rise building,1941,
"1,355",444 Central Park West,2,218 ft,19,high-rise building,1930,
"1,356",The Hopkins,,218 ft,19,high-rise building,1930,
"1,357",200 West 15th Street,4,218 ft,19,high-rise building,1930,
"1,358",London Terrace Apartments,38,218 ft,18,high-rise building,1930,
"1,359",Artisan Lofts,5,218 ft,17,high-rise building,1931,
"1,360",Green Building,2,218 ft,17,high-rise building,1930,
"1,361",American Stock Exchange,6,218 ft,16,high-rise building,1921,
"1,362",352 Park Avenue South,2,218 ft,16,high-rise building,1912,
"1,363",11 Maiden Lane,3,218 ft,15,high-rise building,1898,
"1,364",Wanamaker Store Annex,10,218 ft,14,high-rise building,1907,
"1,365",Rockefeller Research Laboratories,,217 ft,16,high-rise building,1989,
"1,366",Skyline Towers 5,3,217 ft,25,high-rise building,1965,
"1,367",259 West 30th Street,2,217 ft,17,high-rise building,1928,
"1,368",230 West 38th Street,1,217 ft,17,high-rise building,1924,
"1,369",Concourse Village Apartments VI,,216 ft,25,high-rise building,1964,
"1,370",Concourse Village Apartments III,,216 ft,25,high-rise building,1964,
"1,371",Concourse Village Apartments IV,,216 ft,25,high-rise building,1964,
"1,372",Concourse Village Apartments V,,216 ft,25,high-rise building,1964,
"1,373",Concourse Village Apartments II,,216 ft,25,high-rise building,1964,
"1,374",Concourse Village Apartments I,,216 ft,25,high-rise building,1963,
"1,375",The Windsor at Forest Hills,,216 ft,21,high-rise building,2005,
"1,376",519 West 42nd Street,12,216 ft,19,high-rise building,2005,
"1,377",BridgeView Tower,9,216 ft,18,high-rise building,2007,
"1,378",Brogan Building,4,216 ft,16,high-rise building,1909,
"1,379",Fischel Building,8,216 ft,16,high-rise building,1922,
"1,380",Clock Tower Building,11,216 ft,16,high-rise building,1913,
"1,381",The Greywood,,216 ft,21,high-rise building,2013,
"1,382",Kips Bay Plaza South Building,9,215 ft,21,high-rise building,1963,
"1,383",HBS Building,5,215 ft,16,high-rise building,1925,
"1,384",Woodson Houses I,1,214 ft,25,high-rise building,1970,
"1,385",161 West 16th Street,5,214 ft,20,high-rise building,1930,
"1,386",Manhattan House Apartments,3,214 ft,20,high-rise building,1951,
"1,387",200 West 16th Street,3,214 ft,19,high-rise building,1930,
"1,388",22 West 32nd Street,1,214 ft,16,high-rise building,1913,
"1,389",Zazza Williamsburg,6,213 ft,20,high-rise building,2007,
"1,390",The Robert Livingston,4,213 ft,19,high-rise building,1964,
"1,391",The Frontier,1,213 ft,19,high-rise building,2015,
"1,392",Grosvenor House Condominiums,3,213 ft,21,high-rise building,1989,
"1,393",Holiday Inn Chelsea,1,212 ft,24,high-rise building,2007,
"1,394",Victoria Tower,,212 ft,21,high-rise building,2008,
"1,395",80 Park Avenue,4,212 ft,20,high-rise building,1956,
"1,396",Red Roof Inn,3,212 ft,17,high-rise building,1913,
"1,397",New York Times Building,5,212 ft,16,high-rise building,1889,
"1,398",11 East 36th Street,2,212 ft,12,high-rise building,1912,
"1,399",Two Ten West 77,19,212 ft,18,high-rise building,2016,
"1,400",Elliott-Chelsea,1,211 ft,22,high-rise building,2012,
"1,401",Post Luminaria,3,211 ft,20,high-rise building,2002,
"1,402",Sea Rise II Wing B,1,211 ft,24,high-rise building,1974,
"1,403",Sea Rise I Wing B,2,211 ft,24,high-rise building,1974,
"1,404",Sea Rise II Wing A,2,211 ft,24,high-rise building,1974,
"1,405",Peter Warbasse Houses II,3,211 ft,24,high-rise building,1963,
"1,406",Peter Warbasse Houses I,3,211 ft,24,high-rise building,1963,
"1,407",Peter Warbasse Houses V,2,211 ft,24,high-rise building,1963,
"1,408",Peter Warbasse Houses IV,3,211 ft,24,high-rise building,1964,
"1,409",Peter Warbasse Houses III,2,211 ft,24,high-rise building,1963,
"1,410",Sea Rise I Wing A,1,211 ft,24,high-rise building,1974,
"1,411",Sea Park East,1,211 ft,24,high-rise building,1972,
"1,412",2 5th Avenue,3,211 ft,20,high-rise building,1952,
"1,413",136 Madison Avenue,4,211 ft,16,high-rise building,1916,
"1,414",Morrisania Air Rights I,,210 ft,23,high-rise building,1980,
"1,415",Arcadia Condominiums,2,210 ft,20,high-rise building,2005,
"1,416",170 East End Avenue,23,210 ft,19,high-rise building,2008,
"1,417",Crossing 23rd,3,210 ft,21,high-rise building,2005,
"1,418",The Brompton,36,210 ft,20,high-rise building,2008,
"1,419",The Melar,1,210 ft,20,high-rise building,2006,
"1,420",Four Points by Sheraton Manhattan SoHo Village,2,210 ft,20,high-rise building,2008,
"1,421",2770 Broadway,2,210 ft,20,high-rise building,2005,
"1,422",Club Quarters World Trade Center,13,210 ft,19,high-rise building,1931,
"1,423",Beekman Townhouse Condominiums,,210 ft,19,high-rise building,1961,
"1,424",2 Beekman Place,3,210 ft,18,high-rise building,1932,
"1,425",2forty,22,210 ft,17,high-rise building,2008,
"1,426",Gansevoort Park,16,210 ft,17,high-rise building,2010,
"1,427",Harsen House,1,210 ft,16,high-rise building,2008,
"1,428",52 East 4th Street,26,210 ft,15,high-rise building,2009,
"1,429",Theater House,,210 ft,25,high-rise building,2017,
"1,430",The Nevins,8,210 ft,21,high-rise building,2017,
"1,431",241 5th Avenue,,210 ft,20,high-rise building,2013,
"1,432",55 West 17th Street,4,210 ft,19,high-rise building,2017,
"1,433",Hilton Brooklyn New York,11,210 ft,19,high-rise building,2016,
"1,434",300 East 79,5,210 ft,18,high-rise building,2008,
"1,435",Hampton Inn New York United Nations,,210 ft,20,high-rise building,2013,
"1,436",135 East 79th Street,1,210 ft,19,high-rise building,2013,
"1,437",Hotel Indigo Brooklyn,,210 ft,19,high-rise building,2012,
"1,438",Parkview Fifth Avenue,32,210 ft,19,high-rise building,2011,
"1,439",535 West End Avenue,15,210 ft,20,high-rise building,2010,
"1,440",200 West,14,210 ft,19,high-rise building,2010,
"1,441",Tempo,11,210 ft,19,high-rise building,2010,
"1,442",123 Third Avenue,11,210 ft,17,high-rise building,2011,
"1,443",The Laureate,14,210 ft,18,high-rise building,2010,
"1,444",Co-op City Building 32A-B,,209 ft,24,high-rise building,1970,
"1,445",Co-op City Building 31A-B,,209 ft,24,high-rise building,1970,
"1,446",Co-op City Building 30A-B,,209 ft,24,high-rise building,1970,
"1,447",Co-op City Building 22A-B,,209 ft,24,high-rise building,1970,
"1,448",Co-op City Building 16A-B,,209 ft,24,high-rise building,1970,
"1,449",Co-op City Building 15A-B,,209 ft,24,high-rise building,1970,
"1,450",Co-op City Building 9A-B,,209 ft,24,high-rise building,1970,
"1,451",Co-op City Building 3A-B,,209 ft,24,high-rise building,1970,
"1,452",Co-op City Building 2A-B,,209 ft,24,high-rise building,1970,
"1,453",Co-op City Building 1A-B,,209 ft,24,high-rise building,1970,
"1,454",Shore Towers Condominiums,1,209 ft,23,high-rise building,-,
"1,455",Manhattan Promenade Apartments,5,209 ft,22,high-rise building,1998,
"1,456",Henderson House South Apartments,1,209 ft,21,high-rise building,1960,
"1,457",Stewart House Apartments,7,209 ft,20,high-rise building,1960,
"1,458",530 Park Avenue,4,209 ft,18,high-rise building,1941,
"1,459",Fashion Institute of Technology Dorms,7,209 ft,15,high-rise building,1915,
"1,460",B. Altman & Company Department Store Addition,,209 ft,13,high-rise building,1911,
"1,461",281 Broadway,5,208 ft,20,high-rise building,2011,
"1,462",303 Vernon Avenue,,208 ft,24,high-rise building,1967,
"1,463",Pratt Towers,,208 ft,24,high-rise building,1965,
"1,464",St. James Towers,,208 ft,24,high-rise building,1963,
"1,465",Ryerson Towers,,208 ft,24,high-rise building,1964,
"1,466",Brightwater Towers West,2,208 ft,24,high-rise building,1974,
"1,467",Trump Village I,2,208 ft,23,high-rise building,1963,
"1,468",Trump Village V,,208 ft,23,high-rise building,1963,
"1,469",Eastwood Towers,2,208 ft,22,high-rise building,1961,
"1,470",The Victorian,2,208 ft,21,high-rise building,1960,
"1,471",305 East 40th Street,3,208 ft,21,high-rise building,1963,
"1,472",50 Sutton Place South,2,208 ft,20,high-rise building,1956,
"1,473",169 East 69th Street,1,208 ft,20,high-rise building,1961,
"1,474","Alumni Hall, Fashion Institute of Technology",3,208 ft,18,high-rise building,1988,
"1,475",110 Church Street,4,208 ft,16,high-rise building,1967,
"1,476",New York State Insurance Fund Building,4,208 ft,15,high-rise building,1955,
"1,477",Brooklyn Technical High School,2,208 ft,11,high-rise building,1933,
"1,478",L&#039;isola Apartments,3,207 ft,22,high-rise building,1989,
"1,479",200 East 79th Street,1,207 ft,19,high-rise building,2013,
"1,480",Brightwater Towers East,2,207 ft,24,high-rise building,1974,
"1,481",Trump Village IV,1,207 ft,23,high-rise building,1963,
"1,482",Trump Village III,1,207 ft,23,high-rise building,1964,
"1,483",Harridge House Apartments,2,207 ft,22,high-rise building,1960,
"1,484",Sheraton Tribeca New York Hotel,10,207 ft,21,high-rise building,2010,
"1,485",Grand Chelsea Condominiums,3,207 ft,21,high-rise building,1989,
"1,486",Kips Bay Plaza North Building,5,207 ft,21,high-rise building,1963,
"1,487",315 East 72nd Street,,207 ft,21,high-rise building,1958,
"1,488",200 East 16th Street,1,207 ft,20,high-rise building,1932,
"1,489",30 Park Avenue,2,207 ft,20,high-rise building,1954,
"1,490",Gaylord Apartments,4,207 ft,20,high-rise building,1959,
"1,491",360 East 55th Street,3,207 ft,16,high-rise building,1928,
"1,492",Fordham Place,1,207 ft,14,high-rise building,2009,
"1,493",165 East 66th Street,1,207 ft,20,high-rise building,1956,
"1,494",River View Towers Apartments,,206 ft,24,high-rise building,1964,
"1,495",525 East 86th Street,,206 ft,21,high-rise building,1961,
"1,496",Chatham Green Apartments,8,206 ft,21,high-rise building,1961,
"1,497",PennCom Plaza,2,206 ft,18,high-rise building,1925,
